,Company(1),Business Description,Investment,Interest(5)(9),,Acquisition  Date,,Amortized  Cost,Fair  Value
0,"Absolute Dental Management LLC and ADM Equity, LLC",Dental services provider,First lien senior secured loan ($0.8 par due 1/2022),9.40% (Libor + 7.50%/Q),0,1/15/2019,0,0.8,0.8
1,"Absolute Dental Management LLC and ADM Equity, LLC",Dental services provider,First lien senior secured loan ($24.5 par due 1/2022),0,0,1/5/2016,0,24.2,10.2
2,"Absolute Dental Management LLC and ADM Equity, LLC",Dental services provider,"Class A preferred units (4,000,000 units)",0,0,1/5/2016,0,4.0,0.0
3,"Absolute Dental Management LLC and ADM Equity, LLC",Dental services provider,"Class A common units (4,000,000 units)",0,0,1/5/2016,0,0.0,0.0
4,"Acessa Health Inc. (fka HALT Medical, Inc.)",Medical supply provider,"Common stock (569,823 shares)",0,0,6/22/2017,0,0.1,0.0
5,"ADCS Billings Intermediate Holdings, LLC (17)",Dermatology practice,First lien senior secured revolving loan ($1.8 par due 5/2022),7.55% (Libor + 5.75%/M),0,5/18/2016,0,1.8,1.7
6,"ADG, LLC and RC IV GEDC Investor LLC (17)",Dental services provider,First lien senior secured revolving loan ($11.9 par due 9/2022),7.22% (Libor + 4.75%/M),0,9/28/2016,0,11.9,10.5
7,"ADG, LLC and RC IV GEDC Investor LLC (17)",Dental services provider,Second lien senior secured loan ($92.1 par due 3/2024),7.42% (Libor + 5.50%/Q),0,9/28/2016,0,89.0,67.3
8,"ADG, LLC and RC IV GEDC Investor LLC (17)",Dental services provider,"Membership units (3,000,000 units)",0,0,9/28/2016,0,3.0,0.0
9,"Air Medical Group Holdings, Inc. and Air Medical Buyer Corp.",Emergency air medical services provider,Senior subordinated loan ($182.7 par due 3/2026),9.67% (Libor + 7.88%/M),0,3/14/2018,0,182.7,180.8
10,"Air Medical Group Holdings, Inc. and Air Medical Buyer Corp.",Emergency air medical services provider,"Warrant to purchase up to 115,733 units of common stock (expires 3/2028)",0,0,3/14/2018,0,0.9,1.6
11,"Alteon Health, LLC",Provider of physician management services,First lien senior secured loan ($3.0 par due 9/2022),8.30% (Libor + 6.50%/M),0,5/15/2017,0,3.0,2.8
12,"Athenahealth, Inc., VVC Holding Corp., Virence Intermediate Holding Corp., and Virence Holdings LLC (17)",Revenue cycle management provider to the physician practices and acute care hospitals,First lien senior secured loan ($16.0 par due 2/2026),6.40% (Libor + 4.50%/Q),0,2/11/2019,0,15.7,16.0
13,"Athenahealth, Inc., VVC Holding Corp., Virence Intermediate Holding Corp., and Virence Holdings LLC (17)",Revenue cycle management provider to the physician practices and acute care hospitals,Second lien senior secured loan ($210.3 par due 2/2027),10.41% (Libor + 8.50%/Q),0,2/11/2019,0,210.3,210.3
14,"Athenahealth, Inc., VVC Holding Corp., Virence Intermediate Holding Corp., and Virence Holdings LLC (17)",Revenue cycle management provider to the physician practices and acute care hospitals,"Senior preferred stock (121,810 shares)",12.89% PIK (Libor + 11.13%/Q),0,2/11/2019,0,132.6,132.6
15,"Athenahealth, Inc., VVC Holding Corp., Virence Intermediate Holding Corp., and Virence Holdings LLC (17)",Revenue cycle management provider to the physician practices and acute care hospitals,Class A interests (0.39% interest),0,0,2/11/2019,0,9.0,14.1
16,Bambino CI Inc. (17),Manufacturer and provider of single-use obstetrics products,First lien senior secured revolving loan ($5.7 par due 10/2022),7.21% (Libor + 5.50%/M),0,10/17/2017,0,5.7,5.7
17,Bambino CI Inc. (17),Manufacturer and provider of single-use obstetrics products,First lien senior secured loan ($30.6 par due 10/2023),7.30% (Libor + 5.50%/M),0,10/17/2017,0,30.6,30.6
18,Bambino CI Inc. (17),Manufacturer and provider of single-use obstetrics products,First lien senior secured loan ($1.7 par due 10/2023),7.30% (Libor + 5.50%/M),0,12/13/2019,0,1.7,1.7
19,"Bearcat Buyer, Inc. and Bearcat Parent, Inc. (17)",Provider of central institutional review boards over clinical trials,First lien senior secured loan ($30.9 par due 7/2026),6.20% (Libor + 4.25%/Q),0,7/9/2019,0,30.9,30.6
20,"Bearcat Buyer, Inc. and Bearcat Parent, Inc. (17)",Provider of central institutional review boards over clinical trials,First lien senior secured loan ($2.0 par due 7/2026),6.20% (Libor + 4.25%/Q),0,7/9/2019,0,2.0,2.0
21,"Bearcat Buyer, Inc. and Bearcat Parent, Inc. (17)",Provider of central institutional review boards over clinical trials,First lien senior secured loan ($17.1 par due 7/2026),6.20% (Libor + 4.25%/Q),0,9/10/2019,0,17.1,17.0
22,"Bearcat Buyer, Inc. and Bearcat Parent, Inc. (17)",Provider of central institutional review boards over clinical trials,Second lien senior secured loan ($64.2 par due 7/2027),10.20% (Libor + 8.25%/Q),0,7/9/2019,0,64.2,63.5
23,"Bearcat Buyer, Inc. and Bearcat Parent, Inc. (17)",Provider of central institutional review boards over clinical trials,Second lien senior secured loan ($5.3 par due 7/2027),10.20% (Libor + 8.25%/Q),0,7/9/2019,0,5.3,5.2
24,"Bearcat Buyer, Inc. and Bearcat Parent, Inc. (17)",Provider of central institutional review boards over clinical trials,Second lien senior secured loan ($12.7 par due 7/2027),10.20% (Libor + 8.25%/Q),0,9/10/2019,0,12.7,12.6
25,"Bearcat Buyer, Inc. and Bearcat Parent, Inc. (17)",Provider of central institutional review boards over clinical trials,"Class B common units (4,211 units)",0,0,7/9/2019,0,4.2,4.2
