,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Investments,,,,,,,,,,,,,,,,,,,,
1,Non-controlled/non-affiliate company investments,,,,,,,,,,,,,,,,,,,,
2,Debt investments,,,,,,,,,,,,,,,,,,,,
3,Aerospace and Defense,,,,,,,,,,,,,,,,,,,,
4,NTS Technical Systems  ^*#+~,One stop,L + 6.00,(a),7.58,06/2021,,,25606,,,,25575,,,1.2,,,,24325.0,
5,NTS Technical Systems  +~,One stop,L + 6.00,(a),7.58,06/2021,,4189,,,4183,,,,0.2,,,,3980,,
6,NTS Technical Systems,One stop,L + 6.00,(a)(c),7.00,06/2021,,4022,,,3993,,,,0.2,,,,3819,,
7,"Tronair Parent, Inc.  ^+",Senior loan,L + 4.75,(c),6.46,09/2023,,721,,,715,,,,0,,,,628,,
8,"Tronair Parent, Inc.",Senior loan,L + 4.50,(c)(f),6.32,09/2021,,160,,,158,,,,0,,,,138,,
9,Whitcraft LLC  ^*#+~,One stop,L + 6.00,(c),7.45,04/2023,,64220,,,64687,,,,3.2,,,,61652,,
10,Whitcraft LLC,One stop,L + 6.00,(c),7.45,04/2023,,240,,,238,,,,0,,,,228,,
11,Automobile,,,,,,,,,,,,,,,,,,,,
12,"Grease Monkey International, LLC  ^*#+",Senior loan,L + 5.00,(c),6.45,11/2022,,,8717,,,,8791,,,,0.4,,,,8193.0
13,"Grease Monkey International, LLC  !~",Senior loan,L + 5.00,(c),6.45,11/2022,,,2382,,,,2466,,,,0.1,,,,2239.0
14,"Grease Monkey International, LLC  #~",Senior loan,L + 5.00,(c),6.45,11/2022,,,1209,,,,1251,,,,0.1,,,,1136.0
15,"Grease Monkey International, LLC  +~",Senior loan,L + 5.00,(c),6.45,11/2022,,,1095,,,,1132,,,,0.1,,,,1028.0
16,"Grease Monkey International, LLC",Senior loan,L + 5.00,(c),6.45,11/2022,,,1000,,,,1003,,,,0.1,,,,940.0
17,"Grease Monkey International, LLC",Senior loan,P + 4.00,(a)(f),6.71,11/2022,,,123,,,,124,,,,0,,,,112.0
18,"Grease Monkey International, LLC",Senior loan,L + 5.00,,N/A  (6),11/2022,,,0,,,,0,,,,0,,,,0.0
19,JHCC Holdings LLC,One stop,L + 5.50,(a),6.50,09/2025,,,15709,,,,15424,,,,0.7,,,,13824.0
20,JHCC Holdings LLC,One stop,P + 4.50,(f),7.75,09/2025,,,79,,,,76,,,,0,,,,43.0
21,JHCC Holdings LLC,One stop,P + 4.50,(f),7.75,09/2025,,,13,,,,12,,,,0,,,,1.0
22,Polk Acquisition Corp.  *#&,Senior loan,L + 5.25,(c),6.70,06/2022,,,17680,,,,17443,,,,0.8,,,,16265.0
23,Polk Acquisition Corp.,Senior loan,L + 5.25,(c),6.69,06/2022,,,170,,,,167,,,,0,,,,154.0
24,Polk Acquisition Corp  .&,Senior loan,L + 5.25,(c),6.70,06/2022,,,104,,,,102,,,,0,,,,96.0
25,"Power Stop, LLC  +~",Senior loan,L + 4.50,(c)(f),5.95,10/2025,,,2857,,,,2915,,,,0.1,,,,2514.0
26,"Quick Quack Car Wash Holdings, LLC  *#",One stop,L + 6.50,(a),7.50,04/2023,,,13151,,,,13260,,,,0.6,,,,12493.0
27,"Quick Quack Car Wash Holdings, LLC  #",One stop,L + 6.50,(a),7.50,04/2023,,,2372,,,,2351,,,,0.1,,,,2254.0
28,"Quick Quack Car Wash Holdings, LLC  *+",One stop,L + 6.50,(a),7.50,04/2023,,,2073,,,,2147,,,,0.1,,,,1969.0
29,"Quick Quack Car Wash Holdings, LLC  *+",One stop,L + 6.50,(a),7.50,04/2023,,,1386,,,,1435,,,,0.1,,,,1316.0
30,"Quick Quack Car Wash Holdings, LLC",One stop,L + 6.50,(a),7.50,04/2023,,,1122,,,,1187,,,,0.1,,,,1066.0
31,"Quick Quack Car Wash Holdings, LLC",One stop,L + 6.50,(a),7.50,04/2023,,,80,,,,82,,,,0,,,,76.0
32,"Beverage, Food and Tobacco",,,,,,,,,,,,,,,,,,,,
33,"Abita Brewing Co., L.L.C.  +",One stop,L + 7.00,(c),8.61,04/2021,,,9983,,,10030,,1,0.5,,,9184,,,
34,"Abita Brewing Co., L.L.C.",One stop,L + 7.00,(c),8.74,,04/2021,,,20,,,20,,1,0,,,18,,
35,BJH Holdings III Corp.  +~,One stop,L + 5.75,(c),7.20,,08/2025,,,46168,,,47636,,1,2.2,,,42937,,
36,BJH Holdings III Corp.,One stop,L + 5.75,(a)(c),6.95,08/2025,,800,,,793,,1,0.1,,,744,,,,
37,"Cafe Rio Holding, Inc.  ^#",One stop,L + 5.50,(c),6.57,09/2023,,18706,,,18936,,1,0.9,,,17209,,,,
38,"Cafe Rio Holding, Inc.  #",One stop,L + 5.50,(d),6.57,09/2023,,2259,,,2342,,1,0.1,,,2079,,,,
39,"Cafe Rio Holding, Inc.",One stop,L + 5.50,(c)(d),6.51,09/2023,,2007,,,2005,,1,0.1,,,1846,,,,
40,"Cafe Rio Holding, Inc.  *#",One stop,L + 5.50,(d),6.57,09/2023,,1435,,,1488,,1,0.1,,,1319,,,,
41,"Beverage, Food and Tobacco - (continued)",,,,,,,,,,,,,,,,,,,,
42,"Cafe Rio Holding, Inc.  #",One stop,L + 5.50,(d),6.57,09/2023,,,1266,,,,1314,,1,0.1,,,,1165.0,
43,"Cafe Rio Holding, Inc.",One stop,L + 5.50,(c),6.77,09/2023,,250,,,250,,,0,,,230,,,,
44,"Cafe Rio Holding, Inc.",One stop,L + 5.50,(d),6.77,09/2023,,182,,,182,,,0,,,167,,,,
45,"Fintech Midco, LLC  *#!",One stop,L + 5.00,(c)(d),6.46,08/2024,,24535,,,24925,,,1.2,,,23309,,,,
46,"Fintech Midco, LLC  #",One stop,L + 5.00,(c)(d),6.65,08/2024,,1136,,,1179,,,0.1,,,1079,,,,
47,"Fintech Midco, LLC",One stop,L + 5.00,(a),6.00,08/2024,,200,,,199,,,0,,,190,,,,
48,"Flavor Producers, LLC  #~",Senior loan,L + 4.75,(c),6.12,12/2023,,5006,,,4881,,,0.2,,,4605,,,,
49,"Flavor Producers, LLC",Senior loan,L + 4.75,(c)(d),6.13,12/2022,,28,,,24,,,0,,,26,,,,
50,FWR Holding Corporation  ^#,One stop,L + 5.50,(c),6.77,08/2023,,9156,,,9270,,,0.4,,,8424,,,,
51,FWR Holding Corporation  #,One stop,L + 5.50,(c),6.77,08/2023,,1830,,,1898,,,0.1,,,1683,,,,
52,FWR Holding Corporation  #,One stop,L + 5.50,(c),6.77,08/2023,,1157,,,1199,,,0.1,,,1065,,,,
53,FWR Holding Corporation  #,One stop,L + 5.50,(c),6.77,08/2023,,365,,,377,,,0,,,336,,,,
54,FWR Holding Corporation,One stop,L + 5.50,(c),6.77,08/2023,,275,,,274,,,0,,,253,,,,
55,FWR Holding Corporation  #,One stop,L + 5.50,(c),6.77,08/2023,,274,,,282,,,0,,,252,,,,
56,FWR Holding Corporation,One stop,L + 5.50,(a),6.50,08/2023,,132,,,131,,,0,,,121,,,,
57,FWR Holding Corporation,One stop,L + 5.50,(c),6.77,08/2023,,90,,,89,,,0,,,80,,,,
58,Global ID Corporation  *#+~,One stop,L + 6.50,(c),7.57,11/2021,,14323,,,14478,,,0.7,,,14037,,,,
59,Global ID Corporation  *#,One stop,L + 6.50,(c),7.57,11/2021,,816,,,842,,,0.1,,,800,,,,
60,Global ID Corporation  #,One stop,L + 6.50,(c),7.57,11/2021,,714,,,736,,,0,,,699,,,,
61,Global ID Corporation  #,One stop,L + 6.50,(c),7.57,11/2021,,490,,,506,,,0,,,481,,,,
62,Global ID Corporation,One stop,L + 6.50,(c),7.62,11/2021,,60,,,60,,,0,,,58,,,,
63,Global ID Corporation  (5),One stop,L + 6.50,,N/A  (6),11/2021,,0,,,0,,,0,,,(3),,,,
64,"Mendocino Farms, LLC",One stop,L + 8.50,(a),2.00 cash/7.50 PIK,06/2023,,794,,,821,,,0.1,,,778,,,,
65,"Mendocino Farms, LLC",One stop,L + 8.50,(a),2.00 cash/7.50 PIK,06/2023,,624,,,645,,,0,,,611,,,,
66,"Mendocino Farms, LLC",One stop,L + 8.50,(a),2.00 cash/7.50 PIK,06/2023,,612,,,608,,,0,,,600,,,,
67,"Mendocino Farms, LLC",One stop,L + 8.50,(a),2.00 cash/7.50 PIK,06/2023,,301,,,299,,,0,,,295,,,,
68,"Mendocino Farms, LLC",One stop,L + 8.50,(a),2.00 cash/7.50 PIK,06/2023,,300,,,299,,,0,,,295,,,,
69,"Mendocino Farms, LLC",One stop,L + 8.50,(a),2.00 cash/7.50 PIK,06/2023,,148,,,148,,,0,,,145,,,,
70,"Mendocino Farms, LLC",One stop,L + 8.50,(a),2.00 cash/7.50 PIK,06/2023,,90,,,87,,,0,,,83,,,,
71,"Mid-America Pet Food, L.L.C.  ^*#",One stop,L + 5.50,(a),6.50,12/2021,,22398,,,22771,,,1.2,,,22398,,,,
72,"Mid-America Pet Food, L.L.C.",One stop,L + 5.50,,N/A  (6),12/2021,,0,,,0,,,0,,,0,,,,
73,"NBC Intermediate, LLC  ^&",Senior loan,L + 4.25,(d),5.33,09/2023,,4589,,,4577,,,0.2,,,4176,,,,
74,"NBC Intermediate, LLC  #~",Senior loan,L + 4.25,(a)(d),5.33,09/2023,,2353,,,2385,,,0.1,,,2142,,,,
75,"NBC Intermediate, LLC  *#",Senior loan,L + 4.25,(d),5.33,09/2023,,2309,,,2342,,,0.1,,,2101,,,,
76,"NBC Intermediate, LLC  #",Senior loan,L + 4.25,(d),5.33,09/2023,,666,,,660,,,0,,,607,,,,
77,"NBC Intermediate, LLC",Senior loan,L + 4.25,(a),5.25,09/2023,,46,,,46,,,0,,,42,,,,
78,"Purfoods, LLC  #",One stop,L + 5.50,(a),6.50,05/2021,,16108,,,16301,,,0.8,,,16108,,,,
79,"Purfoods, LLC  *",One stop,L + 5.50,(a),6.50,05/2021,,540,,,555,,,0,,,540,,,,
80,"Purfoods, LLC  ^*",One stop,L + 5.50,(a),6.50,05/2021,,389,,,400,,,0,,,389,,,,
81,"Purfoods, LLC  *~",One stop,L + 5.50,(a),6.50,05/2021,,294,,,301,,,0,,,294,,,,
82,"Purfoods, LLC  *~",One stop,L + 5.50,(a),6.50,05/2021,,294,,,301,,,0,,,294,,,,
83,"Purfoods, LLC  *",One stop,L + 5.50,(a),6.50,05/2021,,293,,,301,,,0,,,293,,,,
84,"Purfoods, LLC  *",One stop,L + 5.50,(a),6.50,05/2021,,253,,,254,,,0,,,253,,,,
85,"Beverage, Food and Tobacco - (continued)",,,,,,,,,,,,,,,,,,,,
86,"Purfoods, LLC",One stop,No Value,,7.00 PIK,05/2026,,,241,,,,246,,,0,,,,241.0,
87,"Purfoods, LLC",One stop,L + 5.50,(a)(c),6.50,05/2021,,150,,,151,,,0,,,150,,,,
88,"Purfoods, LLC  *",One stop,L + 5.50,(a),6.50,05/2021,,148,,,152,,,0,,,148,,,,
89,"Purfoods, LLC",One stop,L + 6.00,(a),7.00,05/2021,,120,,,119,,,0,,,120,,,,
90,"Purfoods, LLC  ^",One stop,L + 5.50,(a),6.50,05/2021,,46,,,47,,,0,,,46,,,,
91,"Purfoods, LLC  ^",One stop,L + 5.50,(a),6.50,05/2021,,30,,,30,,,0,,,30,,,,
92,"Purfoods, LLC  ^",One stop,L + 5.50,(a),6.50,05/2021,,30,,,30,,,0,,,30,,,,
93,"Purfoods, LLC  ^",One stop,L + 5.50,(a),6.50,05/2021,,28,,,28,,,0,,,28,,,,
94,"Purfoods, LLC  ^",One stop,L + 5.50,(a),6.50,05/2021,,22,,,22,,,0,,,22,,,,
95,"Purfoods, LLC  ^",One stop,L + 5.50,(a),6.50,05/2021,,22,,,22,,,0,,,22,,,,
96,"Purfoods, LLC  ^",One stop,L + 5.50,(a),6.50,05/2021,,20,,,20,,,0,,,20,,,,
97,"Rubio's Restaurants, Inc.  ^*#(7)&",Senior loan,L + 5.00,(c),2.27 cash/4.00 PIK,04/2021,,17944,,,17838,,,0.5,,,9278,,,,
98,"Rubio's Restaurants, Inc.  (7)",Senior loan,L + 7.50,(a),8.75,04/2021,,162,,,159,,,0,,,82,,,,
99,"SSRG Holdings, LLC",One stop,L + 5.25,(c),6.32,11/2025,,923,,,905,,,0.1,,,803,,,,
100,"SSRG Holdings, LLC",One stop,L + 5.25,(c),6.30,11/2025,,75,,,74,,,0,,,65,,,,
101,"Velvet Taco Holdings, Inc.  ~",One stop,L + 7.00,(c),7.84,03/2026,,1778,,,1761,,,0.1,,,1672,,,,
102,"Velvet Taco Holdings, Inc.  (5)",One stop,L + 7.00,,N/A  (6),03/2026,,0,,,0,,,0,,,(2),,,,
103,"Velvet Taco Holdings, Inc.  (5)",One stop,L + 7.00,,N/A  (6),03/2026,,0,,,(1),,,0,,,(6),,,,
104,Wood Fired Holding Corp.  *#,One stop,L + 5.75,,7.67,12/2023,,14108,,,14348,,,0.7,,,12980,,,,
105,Wood Fired Holding Corp.,One stop,L + 5.75,(c),6.95,12/2023,,697,,,697,,,0,,,641,,,,
106,Wood Fired Holding Corp.,One stop,L + 5.75,(c),6.98,12/2023,,198,,,197,,,0,,,182,,,,
107,Buildings and Real Estate,,,,,,,,,,,,,,,,,,,,
108,"Brooks Equipment Company, LLC  ^*#",One stop,L + 5.00,(a)(c),6.60,08/2020,,25703,,,25794,,,1.3,,,24674,,,,
109,"Brooks Equipment Company, LLC",One stop,L + 5.00,(a),6.00,08/2020,,3384,,,3382,,,0.2,,,3249,,,,
110,Groundworks LLC  +,Senior loan,L + 5.50,(c),7.34,01/2026,,4733,,,4676,,,0.2,,,4165,,,,
111,Groundworks LLC,Senior loan,L + 5.50,(c)(d),6.50,01/2026,,36,,,36,,,0,,,32,,,,
112,Groundworks LLC  (5),Senior loan,L + 5.50,,N/A  (6),01/2026,,0,,,(1),,,0,,,0,,,,
113,"Jensen Hughes, Inc  .&",Senior loan,L + 4.50,(a)(f),5.50,03/2024,,4213,,,4213,,,0.2,,,3791,,,,
114,"Jensen Hughes, Inc.",Senior loan,L + 4.50,(a)(f),5.50,03/2024,,1010,,,1047,,,0.1,,,910,,,,
115,"Jensen Hughes, Inc.  +",Senior loan,L + 4.50,(a)(f),5.50,03/2024,,919,,,934,,,0,,,826,,,,
116,"Jensen Hughes, Inc.",Senior loan,L + 4.50,(a)(f),5.50,03/2024,,441,,,457,,,0,,,397,,,,
117,"Jensen Hughes, Inc.  +",Senior loan,L + 4.50,(a)(f),5.50,03/2024,,281,,,285,,,0,,,253,,,,
118,"Jensen Hughes, Inc.",Senior loan,L + 4.50,(a)(f),5.50,03/2024,,219,,,219,,,0,,,197,,,,
119,"Jensen Hughes, Inc  .&",Senior loan,L + 4.50,(a)(f),5.50,03/2024,,117,,,117,,,0,,,106,,,,
120,MRI Software LLC  ~,One stop,L + 5.50,(d),6.57,02/2026,,14440,,,14300,,,0.7,,,13862,,,,
121,MRI Software LLC,One stop,L + 5.50,(d),6.57,02/2026,,136,,,133,,,0,,,125,,,,
122,MRI Software LLC  (5),One stop,L + 5.50,,N/A  (6),02/2026,,0,,,(1),,,0,,,(12),,,,
123,"Paradigm DKD Group, LLC  +(7)",Senior loan,L + 6.25,(c),7.70,05/2022,,3243,,,2118,,,0.1,,,1692,,,,
124,"Paradigm DKD Group, LLC  (5)(7)",Senior loan,L + 6.25,(c),7.70,05/2022,,1,,,(142),,,0,,,2,,,,
125,"Chemicals, Plastics and Rubber",,,,,,,,,,,,,,,,,,,,
126,"Flexan, LLC  &",One stop,L + 5.25,(c),6.70,02/2021,,8495,,,8478,,,0.4,,,8070,,,,
127,"Chemicals, Plastics and Rubber - (continued)",,,,,,,,,,,,,,,,,,,,
128,"Flexan, LLC  *#",One stop,L + 5.25,(c),6.70,02/2021,,,3290,,,,,3283,,,0.2,,,,3125.0
129,"Flexan, LLC  &",One stop,L + 5.25,(c),6.70,02/2021,,2359,,,2355,,,0.1,,,2242,,,,
130,"Flexan, LLC  ^#",One stop,L + 5.25,(c),6.70,02/2021,,1547,,,1544,,,0.1,,,1471,,,,
131,"Flexan, LLC",One stop,L + 5.25,(c),6.70,02/2021,,1052,,,1051,,,0,,,998,,,,
132,Inhance Technologies Holdings LLC  #,One stop,L + 5.50,(c),7.41,07/2024,,12766,,,12901,,,0.6,,,11597,,,,
